Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.035
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,64.467
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,67.536
Afghanistan,AFG,Multidimensional poverty headcount ratio (UNDP) (% of population),SI.POV.MPUN,..
Afghanistan,AFG,Net migration,SM.POP.NETM,-48958
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,67.5846651516385
Afghanistan,AFG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,16.8527881206002
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,413.757894705303
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,378.06630312259
Afghanistan,AFG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,15.2924823859473
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.602
Albania,ALB,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,77.728
Albania,ALB,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,81.446
Albania,ALB,Multidimensional poverty headcount ratio (UNDP) (% of population),SI.POV.MPUN,..
Albania,ALB,Net migration,SM.POP.NETM,-25357
Albania,ALB,Trade (% of GDP),NE.TRD.GNFS.ZS,82.4936825596994
Albania,ALB,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,38.6650808341863
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,8575.17134637222
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5444.93000074979
Albania,ALB,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,22.9107217576367
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.261
Algeria,DZA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,74.895
Algeria,DZA,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,77.696
Algeria,DZA,Multidimensional poverty headcount ratio (UNDP) (% of population),SI.POV.MPUN,..
Algeria,DZA,Net migration,SM.POP.NETM,-25963
Algeria,DZA,Trade (% of GDP),NE.TRD.GNFS.ZS,43.682914195572
Algeria,DZA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,23.6195363708424
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,5364.02795022731
Algeria,DZA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4660.40545687895
Algeria,DZA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,37.724946210066
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.852
American Samoa,ASM,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,70.202
American Samoa,ASM,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,75.838
American Samoa,ASM,Multidimensional poverty headcount ratio (UNDP) (% of population),SI.POV.MPUN,..
American Samoa,ASM,Net migration,SM.POP.NETM,-1159
American Samoa,ASM,Trade (% of GDP),NE.TRD.GNFS.ZS,..
American Samoa,ASM,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,..
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,..
American Samoa,ASM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..
American Samoa,ASM,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,..
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,84.041
