Country,Constant (2023) US$,Current US$,Share of GDP,Per capita,Share of Govt. spending
Afghanistan,...,...,...,...,...
Albania,397.61761306954554,397.61761306954554,0.017407334644623032,140.899225042362,0.05966707031661076
Algeria,18263.96796826213,18263.96796826213,0.0739039327356489,398.5068614750307,0.20041839557093083
Angola,1247.8463450851725,1247.8463450851725,0.014072554207716375,34.48327700790816,0.05910394328676558
Argentina,4882.352998999768,4882.352998999768,0.007556941398797396,107.40124065641058,0.01997361265671415
Armenia,1326.2456793866888,1326.2456793866893,0.05506298148505661,457.0109163978943,0.20404251290749606
Australia,32387.98979774595,32387.98979774595,0.018615713345605224,1230.499973319629,0.05013067131162605
Austria,4452.227950613869,4452.227950613869,0.008708299524232193,487.32792804442533,0.016564703234156812
Azerbaijan,3561.670588235294,3561.6705882352944,0.04922414038396657,344.7222791555647,0.15025535399657544
Bahrain,1622.3936170212764,1622.3936170212764,0.03520835738196929,1045.3567119982451,0.11799226305609284
Bangladesh,3782.793038256228,3782.793038256228,0.009194714990495066,22.195972693623826,0.07109129669204282
Belarus,1579.3310785419017,1579.3310785419017,0.020234478441946122,172.69886042010953,0.4824031772997544
Belgium,7629.396588605928,7629.396588605927,0.01184228752117569,652.1966651227498,0.022127523571086136
Belize,30.566587499999997,30.5665875,0.009929337684841907,74.91810661764706,0.04105653122901276
Benin,149.03528800474317,149.0352880047432,0.007575513829190023,10.695800775422937,0.039517432155833636
Bolivia,588.816403688688,588.8164036886878,0.013043083736016097,48.42638405203453,0.03426680930640026
Bosnia and Herzegovina,197.3325157983119,197.33251579831193,0.007176300606490913,61.78225291118094,0.017189635261283805
Botswana,485.56787004692586,485.56787004692586,0.02456258982166489,197.38531302720563,0.07360794195520505
Brazil,21788.291072488297,21788.291072488297,0.010023753899013114,103.40563470833098,0.022054853490544014
Brunei,448.9114907294427,448.9114907294426,0.029760174969380354,982.3008549878393,0.10135309927767512
Bulgaria,1989.7034778381724,1989.7034778381724,0.019445831065125423,292.045131049196,0.05194018659245267
Burkina Faso,827.153018861823,827.153018861823,0.04078711723920401,36.33282170174045,0.1397533148955052
Burundi,145.1680216511481,145.16802165114814,0.03431577110326398,10.750001603313695,0.11793966193386705
Cambodia,667.9857331584851,667.9857331584851,0.015448976529504957,38.578442573403706,0.08273258302208641
Cameroon,456.5690918880268,456.5690918880268,0.009264904695172722,16.30720379627212,0.05417203775245734
Canada,27227.653114122786,27227.653114122786,0.012531656787590198,697.0725323636146,0.02991708933016414
Cape Verde,14.353938320532245,14.353938320532245,0.005664941346719667,27.550745336914098,0.022299029481779895
Central African Republic,62.52702181344471,62.52702181344471,0.023772065957814878,12.344920397521166,0.13272930249486434
Chad,372.7518557233594,372.75185572335937,0.02117589828750576,19.861032380826906,0.11700924171180224
Chile,5470.078568904184,5470.078568904183,0.01630263886709055,279.04293061797597,0.05951066734449064
China,296821.37759150215,296821.37759150215,0.016648488965981343,208.4037810425913,0.050293160543620576
Colombia,10779.238341591623,10779.238341591625,0.02965452179713587,207.16157710667508,0.08463041115134531
"Congo, DR",794.2445980722746,794.2445980722746,0.011188599602745212,7.632343850093449,0.06766344152411093
"Congo, Republic",284.9944296640487,284.99442966404865,0.01976256410721414,46.659205904395655,0.09730239961815046
Costa Rica,0,0,...,...,...
Cote d'Ivoire,682.1771113492144,682.1771113492144,0.008648784677788417,22.1601192616039,0.04025410043387746
Croatia,1439.0603324964025,1439.0603324964022,0.017066315878059245,368.7062086847047,0.036750910495530295
Cuba,...,...,...,...,...
Cyprus,558.8783108111028,558.8783108111028,0.016506068333336045,417.69679432817844,0.04312630262609421
Czechia,5056.277310052805,5056.277310052805,0.014717682101741838,466.9631797241231,0.03364770163939051
Czechoslovakia,xxx,xxx,xxx,xxx,xxx
Denmark,8132.606555213821,8132.606555213822,0.019996133291757274,1370.972109779808,0.04269719206808529
Djibouti,...,...,...,...,...
Dominican Republic,946.42577318119,946.42577318119,0.007793086793453215,83.88068538342552,0.04108027305949061
Ecuador,2692,2692,0.02265138561497105,150.3742598592336,0.05632270482885597
Egypt,3167.1501259135603,3167.1501259135607,0.008089187070931645,27.906127478466168,0.04199972548194373
El Salvador,454.76666666666665,454.7666666666667,0.013369350039108593,72.24252051893038,0.043356532240124576
Equatorial Guinea,162.19239415267498,162.192394152675,0.015186724061043428,88.87254474119179,0.06831999655556273
Eritrea,...,...,...,...,...
